school_id,school_name,city,district,academic_year,grade,gender,enrolled_students,avg_exam_score,pass_percentage,attendance_rate,learning_growth_index
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,1,Male,109.0,47.8,3.0,80.2,0.24
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,1,Female,115.0,,33.4,93.9,0.77
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,1,M,73.0,101.5,59.5,103.4,0.3
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,1,F,134.0,105.6,73.4,83.9,1.17
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,1,male,103.0,86.3,67.9,86.7,0.84
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,2,Male,105.0,87.2,15.8,90.1,-0.03
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,2,Female,158.0,95.3,42.9,,0.51
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,2,M,74.0,83.6,8.3,64.7,-0.1
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,2,F,21.0,98.2,89.5,83.8,1.1
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,2,male,,50.2,,73.9,-0.07
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,3,Male,32.0,80.6,73.9,85.3,0.67
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,3,Female,137.0,53.4,37.4,77.4,0.82
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,3,M,138.0,45.0,95.7,99.1,1.15
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,3,F,52.0,81.4,42.9,66.7,0.55
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,3,male,55.0,56.7,,93.6,0.06
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,4,Male,36.0,,,96.9,0.72
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,4,Female,39.0,86.3,18.4,91.8,0.28
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,4,M,58.0,45.5,73.4,84.9,0.32
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,4,F,70.0,,25.8,69.8,0.57
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,4,male,168.0,74.0,,62.3,-0.18
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,5,Male,,68.5,31.2,60.5,0.18
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,5,Female,153.0,77.2,,95.6,0.33
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,5,M,24.0,95.6,102.2,66.7,0.25
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,5,F,116.0,48.9,29.7,,0.94
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,5,male,79.0,107.8,29.8,,0.62
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,6,Male,164.0,85.4,49.7,66.1,-0.19
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,6,Female,153.0,,29.1,,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,6,M,,87.0,1.4,74.9,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,6,F,80.0,89.2,,66.8,0.76
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,6,male,56.0,,1.7,103.0,0.78
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,7,Male,76.0,103.1,47.2,83.2,0.83
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,7,Female,22.0,74.0,38.8,92.4,0.47
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,7,M,77.0,72.5,21.8,86.0,-0.03
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,7,F,79.0,89.4,-1.7,66.6,0.02
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,7,male,105.0,98.6,49.3,101.0,0.47
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,8,Male,150.0,92.3,80.0,69.6,0.18
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,8,Female,38.0,69.0,33.5,77.0,0.61
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,8,M,90.0,72.4,16.6,104.7,0.8
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,8,F,125.0,72.2,96.2,,0.35
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,8,male,72.0,90.8,16.9,91.0,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,9,Male,31.0,68.2,52.9,83.2,-0.03
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,9,Female,139.0,42.7,,74.8,0.7
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,9,M,20.0,101.1,101.5,60.0,0.18
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,9,F,105.0,75.9,27.4,80.4,0.58
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,9,male,,89.1,62.6,75.0,0.96
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,10,Male,37.0,58.3,23.4,,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,10,Female,174.0,94.4,98.0,75.4,0.14
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,10,M,148.0,79.5,41.7,63.2,-0.1
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,10,F,,63.3,15.4,,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,10,male,33.0,66.9,,68.2,-0.08
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,11,Male,57.0,46.1,57.2,94.5,0.6
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,11,Female,150.0,63.3,,79.8,0.41
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,11,M,110.0,101.1,81.8,80.8,-0.07
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,11,F,179.0,109.1,58.1,,0.87
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,11,male,99.0,104.4,81.9,64.9,1.16
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,12,Male,159.0,100.8,99.5,76.8,
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,12,Female,34.0,86.6,83.4,96.3,0.22
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,12,M,,47.7,89.5,78.6,0.36
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,12,F,151.0,75.6,17.6,104.2,0.89
IND_SCH_0001,Zilla Parishad School Bengaluru,Bengaluru,Bangalore Urban,2023,12,male,55.0,76.8,6.9,78.4,0.05
IND_SCH_0002,Govt High School Devanahalli,Devanahalli,Bangalore Rural,2023,1,Male,101.0,53.4,76.0,81.4,0.91
IND_SCH_0002,Govt High School Devanahalli,Devanahalli,Bangalore Rural,2023,1,Female,,98.6,59.6,61.1,0.43
IND_SCH_0002,Govt High School Devanahalli,Devanahalli,Bangalore Rural,2023,1,M,90.0,65.7,15.4,79.2,0.59
IND_SCH_0002,Govt High School Devanahalli,Devanahalli,Bangalore Rural,2023,1,F,21.0,54.6,44.8,93.6,0.33
IND_SCH_0002,Govt High School Devanahalli,Devanahalli,Bangalore Rural,2023,1,male,20.0,46.6,77.9,84.6,0.94
