id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,fare_amount
id0001,1,2024-01-01 23:17:00,2024-01-01 23:24:00,1,-73.9719714277436,40.75927975767246,-73.98605366063211,40.7362407456177,0.25,3.62
id0002,1,2024-01-22 23:57:00,2024-01-22 23:57:00,2,-73.975352954169,40.754044600469726,-73.98167709688815,40.730823379771834,5.26,19.26
id0003,2,2024-01-02 00:05:00,2024-01-02 00:31:00,2,-74.00150643557286,40.73727299868828,-74.00266381960586,40.74216968971838,1.12,5.73
id0004,1,2024-01-18 06:45:00,2024-01-18 06:53:00,2,-73.99835083439207,40.754474115788895,-74.00442024557391,40.74168578594141,0.68,5.24
id0005,2,2024-01-08 14:37:00,2024-01-08 14:46:00,4,-73.97859296154428,40.73798695128633,-73.98943062246344,40.75369658275448,0.2,3.51
id0006,1,2024-01-25 05:44:00,2024-01-25 05:58:00,1,-74.0031790350525,40.73260206371941,-73.97204457850987,40.76862528132298,2.48,10.06
id0007,1,2024-01-07 10:06:00,2024-01-07 10:11:00,1,-74.00609311543974,40.75736932106049,-73.9923939002504,40.73488152939379,1.03,5.25
id0008,2,2024-01-28 11:38:00,2024-01-28 11:38:00,1,-73.97362718391685,40.740351199264,-73.98349910862584,40.74246844304358,1.1,5.78
id0009,2,2024-01-18 03:59:00,2024-01-18 04:10:00,2,-74.00260582177897,40.76878338511058,-73.97899468706555,40.76757995766257,3.38,12.32
id0010,2,2024-01-27 20:39:00,2024-01-27 20:52:00,1,-73.97312503059906,40.733539700082076,-74.00216068550323,40.73180909155642,0.59,5.22
id0011,1,2024-01-23 02:02:00,2024-01-23 02:09:00,4,-73.99914603872904,40.763149500366076,-73.99572986693225,40.741237380387496,1.17,6.89
id0012,2,2024-01-03 07:55:00,2024-01-03 07:57:00,1,-73.97791212076983,40.73298202574719,-73.97052452253597,40.76088979077186,0.33,3.73
id0013,2,2024-01-21 11:10:00,2024-01-21 11:10:00,1,-73.9773815428618,40.75827429375391,-73.98083971327836,40.760850813867435,0.2,3.55
