order_id,order_timestamp,customer_id,country,currency,amount,status
ORD100000,2023-05-12T14:23:45,CUST1863,CA,CAD,4937.69,CREATED
ORD100001,2023-11-26T01:45:42,CUST7805,UK,GBP,3138.91,CREATED
ORD100002,2024-04-23T03:53:06,CUST5839,AU,AUD,1018.75,PAID
ORD100003,2023-12-10T05:00:38,CUST4763,CA,CAD,1395.14,PAID
ORD100004,2023-06-05T02:15:41,CUST5409,IN,INR,1174.63,CREATED
ORD100005,2024-07-27T16:49:03,CUST2743,UK,GBP,4551.55,CREATED
ORD100006,2024-11-14T04:46:43,CUST2259,AU,AUD,536.62,PAID
ORD100007,2023-07-08T18:56:02,CUST1474,US,USD,2467.26,CANCELLED
ORD100008,2024-02-04T21:10:18,CUST4364,US,USD,500.07,CREATED
ORD100009,2024-01-14T03:32:24,CUST9640,UK,GBP,4776.19,CREATED
ORD100010,2023-09-06T14:29:33,CUST2352,CA,CAD,911.51,CREATED
ORD100011,2023-01-20T11:40:27,CUST7000,UK,GBP,4444.23,PAID
ORD100012,2024-11-12T16:09:24,CUST5212,AU,AUD,2305.53,PAID
ORD100013,2023-06-27T13:56:24,CUST3860,CA,CAD,4713.73,CREATED
ORD100014,2023-12-21T19:14:36,CUST6464,UK,GBP,825.57,PAID
ORD100015,2024-07-07T10:31:33,CUST1429,UK,GBP,1998.99,PAID
ORD100016,2023-01-29T09:52:17,CUST2982,CA,CAD,2123.31,CANCELLED
ORD100017,2023-05-04T04:44:32,CUST2832,CA,CAD,4178.87,CREATED
ORD100018,2023-08-12T10:40:08,CUST6738,CA,CAD,3298.54,CREATED
ORD100019,2023-07-18T11:23:09,CUST2238,US,USD,4576.58,CREATED
ORD100020,2023-07-31T06:26:41,CUST7679,IN,INR,51.92,CREATED
ORD100021,2023-07-01T23:08:13,CUST3224,UK,GBP,4983.34,CREATED
ORD100022,2023-05-13T11:22:14,CUST7392,UK,GBP,4146.98,PAID
ORD100023,2024-05-23T09:21:51,CUST5442,AU,AUD,3933.69,CANCELLED
ORD100024,2023-08-20T16:40:35,CUST2450,AU,AUD,4847.39,PAID
ORD100025,2024-09-23T18:48:43,CUST6195,CA,CAD,38.3,PAID
ORD100026,2024-12-16T17:34:13,CUST2492,IN,INR,4820.65,CREATED
ORD100027,2023-11-06T00:34:16,CUST4387,CA,CAD,913.17,PAID
ORD100028,2023-05-26T20:27:43,CUST9279,AU,AUD,533.57,PAID
ORD100029,2024-05-23T19:32:21,CUST4870,UK,GBP,2318.02,PAID
ORD100030,2024-03-12T23:26:45,CUST6685,IN,INR,1241.02,CREATED
ORD100031,2023-05-23T18:35:12,CUST1664,AU,AUD,3173.98,CREATED
ORD100032,2024-02-25T06:11:34,CUST2830,AU,AUD,2482.72,CANCELLED
ORD100033,2023-10-10T18:04:44,CUST8352,IN,INR,440.73,PAID
ORD100034,2024-11-10T05:16:30,CUST2635,IN,INR,1233.13,PAID
ORD100035,2024-10-03T20:52:39,CUST2848,US,USD,1632.4,PAID
ORD100036,2023-06-07T06:13:31,CUST8524,US,USD,911.54,CREATED
